region_name,country_name,reporting_year,reporting_level,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,reporting_gdp
Sub-Saharan Africa,Angola,2000,national,0.213605659674,0.090902769337,0.052686230261,0.147382485226,7.388854270322,4.673318175877,0.5094101121,0.519447177794,1909.50206453685
Sub-Saharan Africa,Angola,2008,national,0.145896882676,0.040396380985,0.016466020402,0.05335277132,6.526025242888,4.703099810972,0.311631502322,0.427155149878,3176.67216597867
Sub-Saharan Africa,Angola,2018,national,0.311220062314,0.11919143728,0.062310130094,0.179058968547,5.482368049234,3.42050223773,0.476333414611,0.512639915479,2777.84304535304
Europe & Central Asia,Albania,1996,national,0.005348460357,0.000982145368,0.000304759078,0.001203123916,7.933157550406,6.972102629133,0.119104326584,0.270103419751,1633.55200001885
Europe & Central Asia,Albania,2002,national,0.010926473904,0.001894348649,0.000594229855,0.002382839267,8.108228791612,6.688141410712,0.164811599639,0.317389798335,2247.49808010881
Europe & Central Asia,Albania,2005,national,0.005910856841,0.000897233491,0.000228511914,0.001042395717,9.165974569466,7.799791172148,0.154412756483,0.305956557281,2675.50863709675
Europe & Central Asia,Albania,2008,national,0.001999251462,0.000396410989,8.6903135e-05,0.000448972677,10.038169339119,8.40019967359,0.148893380953,0.299846704223,3298.47890843532
Europe & Central Asia,Albania,2012,national,0.006206908872,0.001308925386,0.00045241814,0.001637725376,9.517231461151,8.24038496489,0.138417068042,0.289604845586,3736.34007957648
Europe & Central Asia,Albania,2014,national,0.01023100774,0.001387079266,0.000267282302,0.001545264685,10.141309877656,8.295375495927,0.198661566313,0.345988964668,3855.76074409659
Europe & Central Asia,Albania,2015,national,0.000960674939,4.0287015e-05,2.737962e-06,4.1733626e-05,12.245265077136,10.04312575048,0.175495470024,0.327537317764,3952.80357364813
Europe & Central Asia,Albania,2016,national,0.001393031662,0.000106380995,1.3764967e-05,0.000114023353,12.53200741202,10.274922603872,0.187580582292,0.337362987161,4090.37272829183
Europe & Central Asia,Albania,2016,national,0.057951017798,0.022142577509,0.011332282899,0.032514080757,9.944764600636,8.13432308419,0.273725985964,0.385655960951,4090.37272829183
Europe & Central Asia,Albania,2017,national,0.003925699344,0.000388034422,5.4874231e-05,0.000418818084,12.411218948203,10.187668779844,0.179908465048,0.330556627407,4249.8200493985
Europe & Central Asia,Albania,2017,national,0.052648060214,0.017958083235,0.00875427758,0.025682410387,10.411014391968,8.704905448837,0.254174929513,0.370951266866,4249.8200493985
Europe & Central Asia,Albania,2018,national,0.000481070476,5.6359287e-05,6.735117e-06,6.0027095e-05,13.31650707986,11.639976154611,0.15240441423,0.301482817366,4431.55559506989
Europe & Central Asia,Albania,2018,national,0.038929823491,0.011322119772,0.005091755975,0.015600487452,10.897241682947,9.199628470026,0.233051287027,0.359887519014,4431.55559506989
Europe & Central Asia,Albania,2019,national,0.0,0.0,0.0,0.0,13.749830812247,11.611523963458,0.147458801983,0.301157683046,4543.38771048312
